               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 128,            0.028927,           0.0082757,                   0,             0.99799,                   1,               0.995,               0.667,             0.02633,           0.0082431,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,            0.034667,           0.0083835,                   0,             0.99806,                   1,               0.995,             0.60353,            0.029554,           0.0082892,                   0,            0.003664,            0.003664,            0.003664
                 130,            0.033251,           0.0087459,                   0,             0.99813,                   1,               0.995,             0.66877,            0.023849,           0.0082893,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,            0.027927,             0.00864,                   0,             0.99495,                   1,               0.995,             0.60841,            0.026973,            0.008264,                   0,            0.003565,            0.003565,            0.003565
                 132,             0.03236,           0.0086482,                   0,             0.99778,                   1,               0.995,             0.63331,            0.024834,           0.0082023,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,            0.027219,           0.0079061,                   0,             0.99778,                   1,               0.995,             0.63331,            0.024834,           0.0082023,                   0,            0.003466,            0.003466,            0.003466
                 134,            0.028375,           0.0078256,                   0,             0.99758,                   1,               0.995,             0.61219,            0.025933,           0.0081596,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,            0.027911,            0.008689,                   0,             0.99768,                   1,               0.995,             0.65586,            0.023545,           0.0081052,                   0,            0.003367,            0.003367,            0.003367
                 136,            0.030136,           0.0073633,                   0,             0.99769,                   1,               0.995,             0.67093,            0.024992,           0.0080011,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,            0.033107,           0.0087689,                   0,             0.99765,                   1,               0.995,             0.62726,            0.027659,           0.0079958,                   0,            0.003268,            0.003268,            0.003268
                 138,            0.027638,            0.007955,                   0,             0.99825,                   1,               0.995,             0.65224,            0.024804,           0.0080693,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,            0.028158,           0.0077473,                   0,             0.99756,                   1,               0.995,             0.63559,              0.0263,            0.008031,                   0,            0.003169,            0.003169,            0.003169
                 140,            0.030394,           0.0079761,                   0,             0.99803,                   1,               0.995,             0.70333,            0.023578,           0.0079115,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,            0.029234,           0.0083719,                   0,             0.99803,                   1,               0.995,             0.70333,            0.023578,           0.0079115,                   0,             0.00307,             0.00307,             0.00307
                 142,            0.029421,           0.0081487,                   0,             0.99836,                   1,               0.995,             0.69902,            0.024563,           0.0078677,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,            0.028718,           0.0081105,                   0,             0.99843,                   1,               0.995,             0.70282,            0.023299,           0.0079104,                   0,            0.002971,            0.002971,            0.002971
                 144,            0.026258,           0.0077069,                   0,             0.99806,                   1,               0.995,             0.71023,            0.022427,           0.0078708,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,            0.026708,           0.0084198,                   0,             0.99858,                   1,               0.995,             0.72095,            0.022753,           0.0078154,                   0,            0.002872,            0.002872,            0.002872
                 146,            0.028365,           0.0082851,                   0,             0.99811,                   1,               0.995,             0.69647,            0.025285,            0.007832,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,            0.030075,           0.0080106,                   0,             0.99861,                   1,               0.995,             0.69857,             0.02525,           0.0077463,                   0,            0.002773,            0.002773,            0.002773
                 148,            0.028367,           0.0090099,                   0,             0.99796,                   1,               0.995,             0.69122,            0.023841,            0.007855,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,            0.029737,            0.007209,                   0,             0.99796,                   1,               0.995,             0.69122,            0.023841,            0.007855,                   0,            0.002674,            0.002674,            0.002674
                 150,            0.027538,           0.0079375,                   0,             0.99714,                   1,               0.995,             0.67165,            0.024627,           0.0078788,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,            0.026567,           0.0083688,                   0,             0.99813,                   1,               0.995,             0.70619,            0.023347,            0.007783,                   0,            0.002575,            0.002575,            0.002575
                 152,            0.027203,           0.0089186,                   0,             0.99812,                   1,               0.995,             0.70972,            0.023276,           0.0076965,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,            0.027999,           0.0083521,                   0,             0.99844,                   1,               0.995,             0.71778,            0.023156,           0.0076726,                   0,            0.002476,            0.002476,            0.002476
                 154,            0.025548,           0.0072557,                   0,             0.99811,                   1,               0.995,             0.68787,            0.024361,           0.0076799,                   0,           0.0024265,           0.0024265,           0.0024265
                 155,            0.027982,           0.0082867,                   0,              0.9982,                   1,               0.995,             0.71984,            0.021884,           0.0076811,                   0,            0.002377,            0.002377,            0.002377
                 156,            0.026144,           0.0075074,                   0,             0.99819,                   1,               0.995,             0.68854,            0.022868,           0.0076799,                   0,           0.0023275,           0.0023275,           0.0023275
                 157,            0.026861,           0.0074748,                   0,             0.99819,                   1,               0.995,             0.68854,            0.022868,           0.0076799,                   0,            0.002278,            0.002278,            0.002278
                 158,             0.02946,           0.0084687,                   0,             0.99812,                   1,               0.995,             0.66385,            0.024435,           0.0077184,                   0,           0.0022285,           0.0022285,           0.0022285
                 159,            0.027323,           0.0086396,                   0,             0.99812,                   1,               0.995,              0.7016,            0.023168,           0.0076859,                   0,            0.002179,            0.002179,            0.002179
                 160,            0.026841,           0.0076995,                   0,             0.99843,                   1,               0.995,             0.69884,            0.021984,           0.0076902,                   0,           0.0021295,           0.0021295,           0.0021295
                 161,            0.024644,           0.0088314,                   0,             0.99846,                   1,               0.995,             0.71531,            0.021926,           0.0076678,                   0,             0.00208,             0.00208,             0.00208
                 162,            0.024622,           0.0068009,                   0,             0.99844,                   1,               0.995,             0.68427,            0.023927,           0.0076769,                   0,           0.0020305,           0.0020305,           0.0020305
